id	hotCode	name	category	defaultDose	unit	route	isInjectable	majorCategory	subCategory
cmtgz3hul07pfhgynpm0ohhfb	116202801	ビスダイン静注用15mg		1瓶		注射・点滴	TRUE		
cmtgz3hul07pghgynsuex4xra	116203501	ファブラザイム点滴静注用5mg		1瓶		注射・点滴	TRUE		
cmtgz3hul07phhgyndru6ceza	116204201	ファブラザイム点滴静注用35mg		1瓶		注射・点滴	TRUE		
cmtgz3hul07pihgyneqkko756	116205901	ネオパレン2号輸液 1,000mL		1キット		注射・点滴	TRUE	輸液	
cmtgz3hul07pjhgynziya6spt	116206601	ネオパレン1号輸液 1,000mL		1キット		注射・点滴	TRUE	輸液	
cmtgz3hul07pkhgyny9xpfuni	116207301	プリンク注シリンジ5μg		1筒		注射・点滴	TRUE		
cmtgz3hul07plhgynl9z5mfys	116207302	アルプロスタジル注5μgシリンジ		1筒		注射・点滴	TRUE		
cmtgz3hul07pmhgyn6umsaum3	116208001	プリンク注シリンジ10μg		1筒		注射・点滴	TRUE		
cmtgz3hul07pnhgynnnbqau8q	116208002	アルプロスタジル注10μgシリンジ		1筒		注射・点滴	TRUE		
cmtgz3hul07pohgyn9520i9q1	116209701	メンタックススプレー1%		1mL		外用	FALSE		
cmtgz3hul07pphgynq0s947k9	116213401	フィジオゾール3号輸液		1袋		注射・点滴	TRUE	輸液	電解質輸液(維持液・3号液)
cmtgz3hul07pqhgynik84vzvu	116214101	メプチンドライシロップ0.005%		1g		内服	FALSE		
cmtgz3hul07prhgynnw6t0r0j	116215801	ニフェランタンCR錠20		1錠		内服	FALSE		
cmtgz3hyq07pshgynbqi5xj8v	116216501	ニフェランタンCR錠40		1錠		内服	FALSE		
cmtgz3hyq07pthgynoxw4u5hi	116217202	セロクエル細粒50%		1g		内服	FALSE		
cmtgz3hyq07puhgyn045q6jol	116218901	安息香チンキ		10mL		外用	FALSE		
cmtgz3hyq07pvhgyn5y64h85j	116219601	アンソッコウチンキ		10mL		外用	FALSE		
cmtgz3hyq07pwhgynqt07af1z	116220201	ファモチジンOD錠10mg		1錠		内服	FALSE	消化性潰瘍治療薬	H2受容体拮抗薬
cmtgz3hyq07pxhgynoytxczu6	116222601	ファモチジン注射用20mg		1管		注射・点滴	TRUE	消化性潰瘍治療薬	H2受容体拮抗薬
cmtgz3hyq07pyhgynhe55nhls	116223301	オブランゼ錠10		1錠		内服	FALSE		
cmtgz3hyq07pzhgynzaie3kow	116224001	オブランゼ錠20		1錠		内服	FALSE		
cmtgz3hyq07q0hgync1asx8xt	116224003	オメプラゾール腸溶錠20mg		1錠		内服	FALSE	消化性潰瘍治療薬	プロトンポンプ阻害薬(PPI)
cmtgz3hyq07q1hgynyh9cdrt0	116225701	ドキサゾシン錠0.5mg		1錠		内服	FALSE		
cmtgz3hyq07q2hgynweltz05o	116226401	メトレート錠2mg		1錠		内服	FALSE		
cmtgz3hyq07q3hgynknytjqoy	116226402	メトトレキサート錠2mg		1錠		内服	FALSE	抗悪性腫瘍薬・免疫抑制薬	代謝拮抗薬
cmtgz3hyq07q4hgynnylf6uc9	116227101	ドキサゾシン錠1mg		1錠		内服	FALSE		
cmtgz3hyq07q5hgynkygl26go	116228801	ドキサゾシン錠2mg		1錠		内服	FALSE		
cmtgz3hyq07q6hgynd7ei8amo	116229501	ドキサゾシン錠4mg		1錠		内服	FALSE		
cmtgz3hyq07q7hgynj6emcto5	116230101	マニジピン塩酸塩錠10mg		1錠		内服	FALSE		
cmtgz3hyq07q8hgyns2bao9vg	116231801	マニジピン塩酸塩錠20mg		1錠		内服	FALSE		
cmtgz3hyq07q9hgynlmf1haxt	116232501	ザルトプロフェン錠80mg		1錠		内服	FALSE	解熱鎮痛薬	NSAIDs
cmtgz3hyq07qahgynaahwqfpc	116236301	リポザート錠10		1錠		内服	FALSE		
cmtgz3hyq07qbhgynqpuiv51j	116236303	シンバスタチン錠10mg		1錠		内服	FALSE	脂質異常症治療薬	スタチン系(HMG-CoA還元酵素阻害薬)
cmtgz3hyq07qchgyn5vao6elw	116237001	リマプロストアルファデクス錠10μg		1錠		内服	FALSE		
cmtgz3hyq07qdhgyn7hevdhn8	116238702	アラジオフ点眼液0.1%		1瓶		外用	FALSE		
cmtgz3hyq07qehgynkvc15gd4	116238703	ペミロラストK点眼液0.1%		1瓶		外用	FALSE		
cmtgz3hyq07qfhgynn08ixko2	116241701	フスコブロン配合シロップ		1mL		内服	FALSE		
cmtgz3hyq07qghgynshqimejs	116244801	ベセラール錠50μg		1錠		内服	FALSE		
cmtgz3hyq07qhhgyngom214tz	116245501	ベセラール錠250μg		1錠		内服	FALSE		
cmtgz3hyq07qihgynk6gzjfi3	116246201	サンドスタチンLAR筋注用10mg		1瓶(溶解液付)		注射・点滴	TRUE		
cmtgz3hyq07qjhgyn0dzf0bde	116247901	サンドスタチンLAR筋注用20mg		1瓶(溶解液付)		注射・点滴	TRUE		
cmtgz3hyq07qkhgynrq858ier	116248601	サンドスタチンLAR筋注用30mg		1瓶(溶解液付)		注射・点滴	TRUE		
cmtgz3hyq07qlhgyng94t5hoz	116249301	セレベント50ディスカス		1キット		外用	FALSE		
cmtgz3hyq07qmhgynr70qixt9	116250901	シンセロン錠8mg		1錠		内服	FALSE		
cmtgz3hyq07qnhgynrae2bv9h	116251601	動注用アイエーコール100mg		1瓶		注射・点滴	TRUE		
cmtgz3hyq07qohgynx4gs4xfq	116253001	注射用レザフィリン100mg		1瓶		注射・点滴	TRUE		
cmtgz3hyq07qphgyn1rcehy6r	116254701	ベンゾダイン注		10MBq		注射・点滴	TRUE		
cmtgz3hyq07qqhgyn95u9a9qt	116255401	エパデールS900		1包		内服	FALSE		
